hours_studied,attendance_percentage,assignments_completed,previous_exam_score,sleep_hours,extracurricular_hours,tutoring_sessions,parental_support_score,screen_time_hours,motivation_level,class_participation_score,final_marks
9.7,97.57,16,98.26,4.11,3.48,7,6,7.14,1,10,100.0
7.75,80.08,1,88.32,4.62,0.82,7,6,5.07,7,6,100.0
9.39,90.96,5,51.21,5.03,3.77,3,1,1.78,1,1,64.84
8.95,94.21,4,97.66,6.59,4.84,7,2,0.43,2,10,100.0
5.98,61.4,8,73.97,7.06,3.9,8,4,4.92,7,3,88.23
9.22,60.6,4,95.14,4.84,0.11,6,3,0.38,1,8,89.99
0.88,80.55,17,77.33,6.55,3.0,1,1,4.9,3,5,81.47
1.96,70.55,19,51.51,6.05,3.48,8,8,1.8,6,8,86.01
0.45,91.99,8,55.9,5.1,4.13,7,7,7.24,6,2,68.21
3.25,95.0,16,68.53,4.04,0.28,4,4,3.8,6,7,94.12
3.89,67.67,16,85.3,6.8,2.4,2,9,1.79,2,9,98.3
2.71,61.84,11,52.26,8.11,2.68,6,4,6.83,2,7,69.79
8.29,89.03,6,70.58,5.36,0.85,1,1,2.03,6,3,89.64
3.57,63.74,2,54.19,4.79,1.61,2,10,2.45,10,7,72.02
2.81,91.13,9,87.1,9.32,2.2,8,1,6.67,5,8,98.64
5.43,71.19,1,62.67,5.65,4.17,3,1,2.47,7,1,70.84
1.41,83.38,2,35.37,5.34,4.65,3,1,3.28,7,3,53.05
8.02,54.78,15,41.62,9.14,3.14,2,4,2.78,5,5,80.81
0.75,81.19,1,34.28,8.9,1.97,4,1,0.93,8,6,64.82
9.87,72.59,9,64.95,6.69,1.27,2,2,0.31,10,3,97.66
7.72,79.33,5,37.44,6.94,4.91,8,4,5.8,6,4,86.1
1.99,58.4,10,37.99,5.31,4.92,2,7,5.16,5,5,56.35
0.06,86.84,6,95.87,4.47,4.62,1,2,2.26,4,3,74.25
8.15,93.14,14,91.09,7.44,3.93,4,8,2.36,7,4,100.0
7.07,60.84,5,61.65,4.59,1.63,5,7,7.56,4,5,74.25
7.29,54.79,19,99.01,6.7,4.09,0,9,7.9,5,2,98.26
7.71,51.18,8,30.01,9.64,2.04,5,6,3.79,5,10,68.41
0.74,82.1,19,72.98,9.72,1.63,2,4,6.42,1,9,76.99
3.58,80.35,11,73.15,5.44,3.72,3,6,5.89,1,10,73.36
1.16,77.33,18,62.02,7.74,0.4,5,4,2.38,3,8,92.37
8.63,61.6,19,57.79,6.84,0.24,7,7,0.47,3,6,94.13
6.23,69.55,2,61.88,9.25,2.24,8,9,1.14,2,10,100.0
3.31,79.72,14,59.05,5.63,2.23,5,3,6.71,2,3,76.77
0.64,74.84,1,81.13,4.02,4.48,6,3,5.85,6,2,63.0
3.11,99.39,20,39.47,4.98,0.63,4,2,5.31,1,7,82.18
3.25,56.82,1,43.83,6.1,0.62,8,1,1.05,6,8,62.91
7.3,84.76,2,42.64,5.89,0.74,3,1,5.12,5,10,70.48
6.38,70.22,5,48.37,8.75,0.15,5,3,6.18,6,1,75.54
8.87,71.41,14,66.77,8.08,0.36,4,7,6.88,5,6,100.0
4.72,85.88,9,37.78,5.8,3.3,0,9,0.11,7,7,85.51
1.2,84.62,8,90.77,6.75,2.16,4,2,5.48,1,9,80.72
7.13,99.56,0,50.82,4.57,3.82,4,7,0.15,3,3,76.73
7.61,56.42,15,41.38,9.39,4.96,8,1,5.65,6,2,90.05
5.61,55.21,5,77.29,9.61,3.3,0,2,5.08,1,5,75.48
7.71,86.22,8,32.67,9.88,0.25,4,6,1.19,7,10,94.06
4.94,78.92,3,73.4,9.21,0.52,6,5,6.13,4,1,86.36
5.23,63.71,1,78.87,5.04,4.41,5,8,0.55,3,6,90.79
4.28,53.97,3,45.04,4.28,2.64,5,2,6.61,10,9,66.53
0.25,54.28,0,32.94,7.48,4.12,6,1,2.1,9,10,50.09
1.08,94.71,18,55.46,9.48,4.28,5,7,5.51,1,9,79.57
0.31,59.59,9,36.9,5.06,4.64,4,6,7.39,8,7,52.12
6.36,66.17,20,38.15,4.04,4.75,4,8,2.72,1,7,84.72
3.14,61.33,14,47.8,8.83,2.77,8,8,4.02,5,8,74.88
5.09,67.75,18,50.68,4.46,1.71,7,2,3.7,10,10,100.0
9.08,53.47,15,67.1,6.48,4.81,3,8,1.26,8,2,94.65
2.49,75.95,20,77.49,8.07,2.74,3,6,4.72,6,6,99.36
4.1,53.38,3,71.49,5.42,0.32,4,9,5.94,7,5,63.72
7.56,90.02,1,40.39,4.5,3.21,2,7,7.33,8,5,76.03
2.29,61.69,12,42.05,8.62,2.94,7,2,6.81,6,3,60.78
0.77,77.0,0,91.51,7.78,4.48,6,8,4.08,6,3,83.44
2.9,94.0,16,69.08,9.93,3.27,4,9,5.75,6,6,100.0
1.61,82.54,12,90.9,6.07,1.75,2,7,6.41,5,10,77.37
9.3,76.65,3,56.01,4.37,4.83,4,4,3.95,8,10,96.15
8.08,66.22,6,73.01,8.41,4.01,2,9,0.92,2,7,95.16
6.33,66.65,16,66.66,7.13,3.15,4,4,3.5,7,1,92.11
8.71,83.47,8,52.34,5.28,1.46,0,4,6.74,4,3,83.33
8.04,99.71,3,62.89,8.69,1.87,5,9,4.77,1,1,90.71
1.87,83.09,18,65.17,5.22,3.35,3,8,5.8,5,10,91.66
8.93,77.89,0,44.05,5.56,0.36,3,4,1.48,3,3,69.28
5.39,86.53,9,52.05,4.56,1.28,7,8,7.71,4,5,89.91
8.07,73.26,3,85.4,6.4,3.57,1,8,3.23,7,9,98.34
8.96,53.01,8,94.11,6.51,2.4,3,7,5.23,5,3,96.66
3.18,78.11,12,55.19,7.09,2.01,1,10,0.15,4,10,86.06
1.1,97.88,13,51.49,8.25,0.76,0,6,1.02,1,10,68.55
2.28,58.77,9,43.66,9.44,2.21,2,8,6.26,6,9,61.14
4.27,84.5,5,77.49,4.83,3.85,7,7,7.74,10,1,87.99
8.18,60.05,15,52.62,4.33,1.32,5,5,2.56,6,6,99.94
8.61,76.79,5,99.14,4.11,0.03,6,4,0.3,7,9,100.0
0.07,54.83,16,52.8,4.86,3.34,1,2,2.89,1,5,55.59
5.11,72.52,9,57.59,7.95,4.86,5,8,0.14,4,10,84.17
4.17,87.81,17,72.23,8.36,3.03,7,9,1.54,9,2,100.0
2.22,67.38,17,86.12,8.72,0.6,7,4,6.02,10,5,100.0
1.2,83.25,2,62.87,5.46,1.6,3,4,7.5,6,1,65.36
3.38,89.77,19,59.59,5.84,4.34,5,5,0.7,2,9,86.14
9.43,96.36,20,99.69,6.9,1.16,4,2,4.46,4,10,100.0
3.23,61.73,14,30.73,4.38,3.04,8,7,2.03,6,10,79.84
5.19,69.97,14,92.65,7.67,2.01,7,5,1.11,4,9,100.0
7.03,57.62,3,40.44,9.9,1.04,1,6,1.75,10,6,80.43
3.64,99.62,8,85.01,6.16,4.07,6,4,4.62,7,9,100.0
9.72,96.35,18,73.26,8.52,3.71,6,8,0.52,3,3,100.0
9.62,77.0,16,53.93,7.0,3.31,0,8,3.47,6,4,93.71
2.52,92.1,10,91.17,4.77,1.18,0,5,1.08,4,6,86.25
4.97,76.05,8,30.9,7.49,0.49,3,6,2.18,3,4,69.41
3.01,81.18,9,45.87,5.8,2.88,4,3,1.53,3,1,68.97
2.85,54.46,17,69.68,4.21,2.77,3,1,7.06,2,7,72.57
0.37,87.76,19,54.61,7.81,0.94,6,9,5.66,3,5,90.95
6.1,56.39,12,72.73,9.15,0.28,2,9,6.95,10,8,96.1
5.03,91.3,7,31.69,6.07,0.4,6,3,3.07,1,9,64.8
0.51,89.1,6,38.15,6.34,4.96,7,4,2.51,3,5,62.49
2.79,85.44,16,38.9,9.35,3.92,5,7,3.04,9,8,86.0
9.08,51.81,20,43.25,8.88,4.61,5,2,0.15,4,1,80.3
2.4,65.16,14,62.15,8.29,0.98,7,3,5.8,3,1,70.03
1.45,63.16,19,82.65,5.49,4.8,7,6,2.8,8,7,91.96
4.89,68.01,14,93.39,9.46,0.71,6,8,2.51,1,6,100.0
9.86,54.38,0,88.48,4.93,2.55,5,1,4.79,5,5,81.0
2.42,96.85,13,43.78,7.76,4.15,5,4,3.49,1,5,74.61
6.72,77.69,4,60.88,4.17,1.75,5,1,7.85,7,9,94.63
7.62,65.28,10,43.96,7.86,2.12,7,2,2.85,5,1,80.01
2.38,69.85,15,48.51,5.66,0.64,0,8,4.91,2,8,68.87
7.28,72.36,1,65.25,6.7,0.61,4,6,2.49,1,2,79.84
3.68,80.03,7,34.77,6.07,3.1,2,9,7.92,7,7,73.03
6.32,75.78,10,45.27,5.04,3.38,7,2,3.56,1,6,83.67
6.34,95.97,17,95.48,7.73,3.89,5,3,5.07,3,10,100.0
5.36,74.85,2,62.63,9.29,2.78,1,9,1.01,6,2,81.71
0.9,99.61,0,61.18,9.75,3.23,6,9,5.86,6,3,77.15
8.35,92.57,10,31.02,5.15,0.07,6,6,2.15,7,4,89.79
3.21,60.43,15,47.32,8.3,0.81,4,3,3.59,1,7,69.85
1.87,96.53,17,90.64,7.99,4.92,7,5,7.07,7,8,100.0
0.41,55.82,15,41.52,6.06,0.38,4,2,7.76,2,2,46.55
5.91,90.87,9,59.06,4.11,3.39,0,7,3.4,6,8,84.6
6.78,69.03,17,31.0,8.14,0.88,8,10,6.68,8,9,100.0
0.17,93.9,5,63.48,9.67,3.58,3,8,0.43,5,7,81.01
5.12,93.4,18,31.47,7.79,3.53,1,6,6.78,10,1,80.97
2.26,90.3,3,87.37,6.61,1.17,3,8,5.04,3,6,80.68
6.45,89.5,12,87.74,7.15,1.35,8,2,3.91,8,8,100.0
1.74,65.23,13,85.14,5.2,3.27,1,3,7.12,8,5,80.75
6.91,54.05,2,49.84,8.5,1.95,3,7,6.76,4,2,72.04
3.87,70.15,9,88.61,8.48,0.97,1,10,2.38,8,5,96.17
9.37,58.68,5,68.01,4.87,3.66,4,1,6.33,5,8,86.58
1.38,84.75,0,56.17,9.27,0.77,2,7,0.8,5,2,63.94
3.41,67.3,13,73.77,5.62,4.28,1,6,6.58,3,1,66.29
1.13,98.78,7,30.86,9.89,2.57,8,8,5.4,7,4,77.33
9.25,82.05,18,40.01,6.3,0.53,4,7,0.7,9,4,100.0
8.77,91.12,13,81.96,5.07,3.47,4,4,5.46,9,9,100.0
2.58,56.63,9,47.09,6.11,2.6,0,3,4.64,1,3,49.34
6.6,93.1,16,71.86,6.64,1.49,5,3,4.76,1,4,98.68
8.17,96.14,8,56.96,4.42,2.11,6,4,2.33,10,3,89.91
5.55,74.35,5,89.84,7.47,1.49,0,9,2.13,5,2,82.14
5.3,80.31,10,96.67,7.59,1.32,8,9,6.1,1,4,99.01
2.42,88.24,6,91.85,8.43,0.82,7,2,2.05,4,8,97.82
0.93,58.74,16,48.94,4.18,1.81,7,5,3.57,1,1,67.12
8.97,75.13,0,43.59,7.25,1.25,6,1,5.56,2,8,84.03
9.0,69.93,4,63.21,4.32,3.42,4,4,0.64,2,8,86.55
6.33,57.32,8,30.51,8.21,3.42,2,2,4.76,4,3,61.26
3.39,68.38,17,31.81,4.33,2.51,8,8,4.72,8,10,89.27
3.49,53.41,20,68.73,9.47,3.89,6,4,5.47,2,10,82.07
7.26,51.29,1,66.43,8.21,4.21,7,5,2.96,9,6,81.88
8.97,56.76,10,99.62,7.04,2.9,5,4,3.59,9,4,100.0
8.87,98.16,5,44.13,6.65,3.09,4,5,2.64,2,1,87.5
7.8,77.48,7,48.07,4.78,1.41,7,5,6.47,1,1,72.53
6.42,98.29,3,37.95,5.75,4.47,2,5,1.04,10,5,87.38
0.84,71.62,17,94.23,9.21,0.12,6,3,7.7,10,8,99.01
1.62,65.59,10,84.45,9.43,1.74,1,7,5.08,9,1,85.92
8.99,75.31,4,87.56,4.0,3.61,2,3,7.1,2,2,78.62
6.06,71.98,14,93.19,7.56,0.4,1,2,3.41,8,7,98.22
0.09,55.28,17,66.74,8.32,0.92,4,3,2.66,3,8,75.09
1.01,82.04,1,61.58,7.71,2.95,6,3,7.21,1,3,55.88
6.64,60.8,10,53.13,4.49,2.8,0,8,0.79,1,8,63.4
0.05,80.98,12,71.25,5.31,3.69,8,4,0.94,10,1,75.9
1.61,82.51,3,61.8,5.5,4.06,0,3,2.39,2,9,56.28
5.49,57.6,6,61.61,8.99,0.64,0,10,7.68,7,2,70.54
6.92,53.07,10,95.58,6.78,0.09,7,5,5.06,6,2,100.0
6.52,89.04,3,98.88,6.92,3.45,5,4,4.43,2,4,94.17
2.24,72.99,14,85.75,9.61,1.51,5,9,5.64,4,10,95.29
7.12,52.91,0,82.97,7.82,3.13,8,8,3.34,2,3,93.42
2.37,99.74,2,77.64,9.39,0.75,3,7,6.06,1,4,81.43
3.25,52.89,13,41.63,6.74,2.35,7,8,3.15,3,6,76.13
7.46,84.75,5,34.14,4.9,2.52,3,5,6.61,4,7,67.28
6.5,99.18,17,78.35,9.58,2.93,1,4,2.14,10,5,100.0
8.49,61.96,0,81.02,6.75,2.57,7,7,2.22,5,2,91.72
6.58,57.11,5,33.29,5.09,2.48,6,1,4.18,5,3,62.95
5.68,56.07,5,94.96,5.81,1.66,3,6,3.45,7,10,100.0
0.94,65.16,20,36.38,4.3,0.36,8,8,5.18,10,3,79.56
3.68,55.05,15,50.01,6.81,0.45,8,7,2.91,8,5,79.48
2.65,84.61,4,77.07,9.12,2.17,7,2,1.84,9,5,82.64
2.44,53.11,16,41.89,9.6,1.78,0,7,3.76,7,4,80.95
9.73,75.47,9,33.88,9.6,2.58,6,6,4.49,5,8,90.15
3.93,99.83,20,53.18,4.75,1.52,4,5,1.14,9,6,88.25
8.92,90.7,17,83.62,6.29,3.44,6,4,4.45,8,6,100.0
6.31,80.76,6,58.96,4.17,4.32,8,1,2.55,10,1,77.56
7.95,65.31,2,75.71,9.13,1.49,1,2,3.14,9,6,93.78
5.03,81.19,12,70.57,6.15,0.96,3,7,2.23,10,3,85.9
5.77,76.35,14,31.56,7.79,0.58,3,10,7.45,8,6,78.1
4.93,71.3,19,99.2,8.29,3.08,1,3,5.47,6,10,100.0
1.95,56.54,18,32.9,6.58,2.22,2,5,2.1,4,6,70.57
7.22,94.33,2,97.75,5.84,0.94,7,8,5.16,9,2,100.0
2.81,72.49,3,68.49,9.77,3.27,8,8,6.79,9,1,74.43
0.24,59.73,4,97.42,9.79,0.74,5,6,3.21,10,3,83.29
6.45,68.39,0,38.03,5.74,2.77,1,5,6.64,10,5,66.75
1.77,70.71,3,64.33,6.88,2.64,1,2,1.24,9,4,73.36
9.4,91.38,11,41.87,9.84,3.67,6,9,6.58,10,7,100.0
9.54,86.68,9,33.57,4.03,0.28,7,1,4.32,3,4,81.19
9.15,88.47,20,73.23,6.48,4.44,7,2,1.78,3,8,100.0
3.7,50.55,19,44.54,4.6,3.51,5,1,3.26,6,7,76.37
0.15,70.81,12,71.14,7.05,1.08,7,4,7.9,6,10,86.8
9.28,74.07,13,37.87,4.15,0.92,0,4,6.27,6,9,89.93
4.28,50.96,4,53.24,6.44,2.16,8,5,4.6,5,1,69.99
9.67,62.99,3,84.71,5.32,4.09,0,5,0.92,5,5,96.91
9.64,88.01,13,60.59,7.2,4.21,2,8,3.34,2,4,96.54
8.53,56.86,9,73.94,9.98,2.6,8,3,2.1,7,6,96.91
2.94,76.77,16,75.32,8.8,4.3,4,6,0.57,4,1,87.07
3.85,60.76,9,89.06,9.07,0.03,8,3,4.34,3,6,86.32
8.51,50.61,6,52.74,7.81,0.18,8,2,7.11,8,1,85.82
3.17,62.06,15,78.11,4.25,4.56,5,8,5.4,4,1,80.67
1.69,98.79,0,97.31,5.24,3.88,0,1,2.0,4,8,78.39
5.57,90.08,16,81.12,9.55,2.25,6,9,4.59,8,2,100.0
9.36,97.98,20,64.29,6.2,3.77,5,7,7.55,1,10,100.0
6.96,74.39,8,74.15,4.62,4.78,8,10,5.78,9,6,95.08
5.7,55.49,5,81.78,8.21,3.86,6,4,5.52,7,6,91.69
0.97,77.4,18,72.86,5.8,4.21,3,3,7.75,2,6,79.3
6.15,72.72,12,31.17,5.61,3.8,6,6,6.39,6,8,82.5
9.9,92.22,2,43.63,9.99,0.84,1,9,1.09,8,4,95.51
1.4,54.9,6,86.73,9.15,4.17,5,9,2.78,5,3,75.41
5.18,74.41,8,49.09,6.45,0.98,5,4,7.72,6,6,74.99
8.77,57.5,4,81.21,9.88,4.46,1,10,3.92,10,4,97.36
7.41,66.23,9,56.05,7.9,2.29,3,5,0.89,8,2,97.12
6.97,86.87,16,66.53,8.45,3.38,7,9,3.67,6,6,100.0
7.02,73.8,11,34.76,4.19,2.49,7,2,5.58,9,10,80.97
3.59,68.79,15,42.69,4.73,0.47,7,2,7.98,9,5,70.61
2.94,69.72,2,97.0,7.8,1.45,7,5,2.59,9,9,87.13
8.09,72.97,8,92.31,9.39,4.92,0,1,4.11,6,6,93.43
8.1,89.25,14,75.66,7.74,4.8,1,8,7.04,9,3,100.0
8.67,94.6,4,62.18,4.8,1.6,3,5,2.84,3,5,83.69
9.13,97.77,12,77.3,4.69,4.98,8,10,0.87,5,10,100.0
5.11,89.35,13,73.3,9.07,4.23,2,2,7.59,2,8,87.45
5.02,65.77,19,69.8,4.84,3.05,5,9,3.91,8,9,100.0
7.98,84.41,14,34.14,7.12,0.2,6,2,4.02,4,8,92.06
6.5,71.88,15,74.3,4.22,4.51,7,7,4.97,6,3,99.67
7.02,62.73,12,83.82,4.48,2.79,6,8,0.03,6,9,100.0
7.96,92.04,16,99.59,8.03,4.34,2,6,7.45,5,3,97.54
8.9,51.92,7,30.78,8.14,4.17,5,7,2.89,1,8,71.9
3.38,95.09,20,81.11,6.05,4.17,4,1,3.18,7,10,97.76
3.76,73.07,1,70.03,5.29,3.49,3,4,1.39,10,9,83.14
0.94,81.86,4,60.38,8.88,1.46,0,7,3.03,8,7,73.06
5.78,82.97,5,38.93,5.3,1.68,6,1,6.43,1,4,64.78
0.36,94.76,11,58.64,7.25,1.54,7,1,6.4,10,10,93.83
4.66,81.83,17,54.81,9.81,0.1,1,6,7.49,7,9,88.49
5.43,80.7,0,51.2,4.89,2.91,6,4,3.23,4,3,59.33
2.87,53.33,16,81.16,9.65,3.49,5,3,5.67,6,3,84.13
5.91,75.92,10,79.05,5.1,4.27,4,5,4.06,9,2,98.66
0.31,57.51,9,71.23,7.4,0.7,3,9,6.43,5,10,74.76
0.37,86.87,18,95.71,6.26,2.72,1,10,5.7,8,3,91.39
8.23,75.61,13,54.49,9.79,0.04,5,10,2.94,5,1,98.11
3.6,84.01,9,47.07,5.64,0.48,4,10,2.69,2,4,83.9
1.27,52.08,14,75.91,6.4,0.27,1,3,2.02,4,8,68.89
5.22,54.24,18,43.92,9.9,3.63,6,5,4.61,2,5,78.79
7.7,85.82,3,52.05,7.22,0.41,5,10,7.71,7,2,90.8
2.16,53.6,1,45.72,7.02,3.58,8,5,1.6,7,3,63.4
6.23,53.56,8,34.84,5.55,1.25,4,9,0.76,3,1,66.84
0.85,50.61,9,87.92,8.21,4.39,8,10,0.96,7,2,80.96
0.52,97.83,10,47.82,4.09,4.07,8,4,6.26,1,1,61.62
5.31,86.88,13,63.11,4.3,4.79,0,1,2.8,1,2,75.9
5.41,67.66,6,33.03,7.6,4.42,4,10,1.79,9,3,78.79
6.37,64.83,14,78.95,6.05,4.67,8,5,2.82,6,1,100.0
7.26,67.49,18,53.14,9.72,4.29,6,1,5.16,5,9,86.85
9.76,88.73,14,82.13,9.42,3.47,5,6,4.37,6,10,100.0
5.16,83.07,7,58.87,8.28,0.85,5,10,5.95,6,5,87.05
3.23,59.26,10,43.7,8.91,1.36,6,10,2.71,1,8,72.45
7.95,58.71,8,65.92,8.0,1.06,0,7,3.62,5,5,89.47
2.71,54.92,14,39.14,4.75,3.02,3,1,0.82,9,8,75.21
4.39,83.02,0,60.84,8.59,2.52,0,10,0.58,4,7,81.78
0.78,88.22,0,52.21,5.26,4.34,5,4,3.7,3,4,64.36
0.25,63.25,18,93.84,5.94,4.76,3,9,2.41,1,7,82.31
9.63,51.05,2,34.27,8.92,2.02,0,1,4.9,2,6,70.65
8.36,54.11,9,78.58,7.22,2.53,8,9,0.34,3,3,93.94
6.96,98.39,7,42.79,9.16,4.86,3,8,0.97,4,9,88.2
4.09,64.77,14,52.33,5.28,1.38,5,5,6.92,7,10,82.91
1.73,88.46,9,59.09,7.65,3.96,6,6,4.53,6,9,79.65
1.56,81.23,0,93.56,4.5,1.13,7,7,5.7,8,5,84.12
2.5,69.1,17,46.98,7.86,3.41,8,4,6.74,9,8,90.18
5.49,60.28,1,36.39,8.58,1.27,8,6,3.71,6,7,76.52
7.15,56.07,18,52.31,7.51,4.42,7,7,6.09,7,9,94.07
6.6,80.75,12,37.33,5.6,2.81,2,6,4.2,4,7,76.39
2.8,88.73,0,39.0,4.19,0.93,1,6,1.78,2,4,51.75
9.55,82.2,1,70.17,4.72,1.12,4,2,2.7,9,4,94.93
7.38,76.52,15,34.26,7.73,2.47,0,5,3.92,9,8,80.67
5.54,52.1,14,32.17,9.61,4.81,2,3,2.54,4,6,64.82
6.12,98.42,12,80.01,5.24,3.85,0,7,2.68,3,9,94.51
4.2,89.94,15,55.32,8.41,2.44,2,4,2.7,10,10,100.0
2.48,64.64,16,38.78,9.2,1.69,3,1,0.98,6,7,72.17
3.56,99.0,20,47.75,7.13,2.75,6,6,0.68,3,7,97.6
7.58,80.09,6,74.95,8.02,3.74,4,6,0.37,1,4,90.05
0.14,79.12,16,49.29,8.89,3.92,4,7,0.89,4,3,69.67
1.16,87.4,6,64.62,5.56,1.62,0,8,2.75,1,8,65.56
0.46,90.59,12,38.52,5.78,3.61,7,3,4.75,2,7,60.04
0.41,82.82,4,71.17,4.0,3.29,3,6,1.51,3,4,77.31
8.55,56.4,16,52.13,9.78,4.8,4,10,7.1,8,4,100.0
7.04,66.91,2,73.89,9.51,4.66,1,2,6.47,10,1,84.03
4.74,96.4,6,86.59,8.59,3.95,0,9,4.16,4,7,85.16
0.98,61.23,16,72.82,4.47,3.62,8,2,5.79,4,1,70.22
4.92,68.61,6,50.7,6.69,1.37,1,3,2.93,10,10,75.4
4.73,71.6,20,47.9,4.61,4.23,5,10,0.29,9,10,99.68
1.73,71.97,0,52.92,4.1,2.14,0,2,7.23,7,4,48.41
4.34,80.65,16,41.52,7.7,1.36,0,9,1.02,2,3,72.76
3.99,97.15,16,42.68,9.76,1.92,8,1,7.58,3,3,77.39
6.16,62.03,10,85.35,9.42,4.18,3,5,4.58,4,1,84.92
6.35,56.08,2,56.93,8.18,0.74,8,1,2.44,4,4,75.17
0.45,59.87,14,60.52,4.58,2.28,4,5,3.96,10,1,70.5
3.75,94.35,20,71.58,5.64,2.46,6,8,4.01,8,8,100.0
6.26,82.29,10,71.28,5.92,0.18,0,8,0.19,10,1,98.89
5.03,64.3,15,34.72,8.58,0.98,5,8,2.84,10,6,84.13
8.56,90.8,8,88.21,8.81,4.13,7,2,5.92,6,7,100.0
6.59,93.07,0,42.41,6.31,4.15,0,8,4.08,3,10,70.65
1.63,92.33,15,80.62,6.51,1.46,8,5,1.95,9,2,95.33
0.71,95.95,8,84.09,4.27,4.37,2,1,2.68,10,4,83.58
6.42,62.61,18,80.04,5.73,3.86,0,7,6.9,8,3,97.31
0.27,87.75,11,70.53,6.71,2.09,0,6,4.2,9,9,78.53
5.86,73.03,18,31.02,4.7,3.74,5,5,4.23,5,7,76.51
9.4,92.1,8,55.23,6.72,4.81,5,1,7.69,3,2,86.28
5.75,86.42,6,72.34,9.12,2.29,0,1,2.57,4,6,84.57
3.88,88.82,13,57.12,7.49,1.19,2,6,3.84,5,9,83.77
6.43,82.81,18,90.44,4.47,4.71,6,10,6.49,9,3,100.0
4.58,58.87,18,51.62,5.15,3.02,2,7,6.07,9,6,87.45
